Questions,Answers,Links/Screenshots/Notes,Approved,FAQ Utterances,Keyword Utterances,Category
Can I get a new number with Lyca Mobile?,"Certainly! Before activating your Lyca Mobile SIM card, you'll have the option to request a new number. Simply enter your ZIP code and select the ""Get a New Number"" option. We'll then provide you with a new number based on the ZIP code and its availability within your specific area code. This ensures you get a fresh number customized to your location.",,Yes,"['Can I get a new connection with Lyca Mobile?', '', 'Does Lyca Mobile provide fresh SIM activations?', '', 'How do I start a new service with Lyca Mobile?', '', 'Is it possible to activate a new line with Lyca Mobile?', '', 'Can I sign up for Lyca Mobile as a new customer?']","['New connection', 'Activate service', 'Start service', 'New SIM', 'Sign up']",
I would like to have a new number. How long will it take for my new Lyca Mobile service to activate?,"
For Lyca Mobile, if you're requesting a new number, the activation time for your service typically ranges from 5 minutes to 2 hours.",,Yes,"['How long does it take to activate my Lyca Mobile plan?', '', 'When will my Lyca Mobile SIM be ready for use?', '', 'What is the waiting time for my new service to start?', '', 'How soon can I begin using my Lyca Mobile connection?', '', 'How much time does it take for my Lyca Mobile account to be active?']","['Service activation', 'SIM ready time', 'Waiting period', 'Connection start', 'Account activation']",
I would like to choose a number of my choice when switching to Lyca Mobile. Can I do that?,"At this time, when subscribing to a Lyca Mobile plan, you won't have the option to select a specific number. Your number will be automatically assigned based on the ZIP code provided during activation. Although, you can bring your current number to Lyca Mobile through porting.",,Yes,"['Can I select a preferred number when moving to Lyca Mobile?', '', 'Is it possible to pick a custom number while switching to Lyca Mobile?', '', 'Does Lyca Mobile allow me to choose my own phone number?', '', 'Can I transfer my service and get a specific number of my choice?', '', 'When switching to Lyca Mobile, can I request a personalized number?']","['Custom number', 'Preferred choice', 'Personalized selection', 'Specific digits', 'Number request']",
Would there be any additional fees if I choose to get a new number?,No. There are no additional fees if you choose to get a new number for your Lyca Mobile service.,,Yes,"['Will I be charged extra for getting a new number?', '', 'Does Lyca Mobile apply any fees for selecting a new number?', '', 'Is there an additional cost for choosing a fresh number?', '', 'Do I need to pay anything extra for a new number with Lyca Mobile?', '', 'Are there any hidden charges for obtaining a new number?']","['Extra cost', 'Additional charge', 'Fee inquiry', 'Pricing details', 'Hidden charges']",
Are there any charges associated with leaving my current carrier for Lyca Mobile?,"For the most accurate information, it's advisable to reach out to your current carrier's customer support, as they can provide tailored guidance based on your specific circumstances. Charges typically stem from phone contracts, and below are common types of fees that may apply with any carrier:

Equipment Installment plans: If you are currently making phone payments on a plan with your current carrier, you may experience fees when switching to Lyca Mobile. This may also include active ""free phone"" promotions. Please contact your current carrier for more details on the status of your account upon switching. 

Early termination fees: If you're currently under contract with your carrier, you may experience fees for switching to Lyca Mobile.

If you require further assistance, please don't hesitate to contact our Lyca Mobile customer service at 1-866-277-3221.",,Yes,"['Will I have to pay any fees for switching to Lyca Mobile?', '', 'Does my current provider charge me for moving to Lyca Mobile?', '', 'Are there any penalties for leaving my existing carrier?', '', 'Is there a cost involved in transferring my service to Lyca Mobile?', '', 'Do I need to pay anything when porting my number to Lyca Mobile?']","['Switching fee', 'Carrier exit cost', 'Porting charge', 'Transfer penalty', 'Service migration fee']",Getting Started
When should I cancel my existing mobile service?  ,"When transferring (porting) your phone number from your current carrier to Lyca Mobile, make sure to cancel your existing carrier's service only after you are fully active on Lyca Mobile. Cancelling your service before activating on Lyca Mobile may result in the permanent loss of your number. It will also leave you without connectivity until your Lyca Mobile service activates.",,Yes,"['When is the right time to cancel my current mobile service?', '', 'Should I cancel my old service before activating Lyca Mobile?', '', 'At what stage should I terminate my existing carrier plan?', '', 'Do I need to wait before deactivating my previous mobile service?', '', 'What is the best time to discontinue my current mobile provider?']","['Service cancellation', 'Termination timing', 'Existing provider', 'Plan deactivation', 'Switching process']",Getting Started
"
How can I check for Lyca Mobile coverage in my area?","To verify Lyca Mobile service availability in your area, click here. We suggest testing various addresses or ZIP codes, such as your home, workplace, and other frequented spots, to ensure coverage wherever you go.","Link to Network coverage on Homepage.
https://www.lycamobile.us/en/help/4g-coverage-and-services/",Yes,"['How do I find out if Lyca Mobile has coverage in my location?', '', 'Where can I check the network availability for Lyca Mobile?', '', 'Is there a way to see if Lyca Mobile works in my area?', '', 'How can I verify the signal strength of Lyca Mobile near me?', '', 'Does Lyca Mobile provide service in my neighborhood?']","['Network coverage', 'Signal availability', 'Service area', 'Coverage map', 'Reception check']",Getting Started
Am I eligible for Lyca Mobile service?,"
Yes, Lyca Mobile service is available for everyone.",,Yes,"['How do I know if I qualify for Lyca Mobile service?', '', 'What are the requirements to use Lyca Mobile?', '', 'Can I sign up for Lyca Mobile in my location?', '', 'Is Lyca Mobile available for everyone?', '', 'Who can apply for Lyca Mobile service?']","['Service eligibility', 'User requirements', 'Availability check', 'Signup criteria', 'Coverage eligibility']",Getting Started
Is a credit check required when I sign up for Lyca Mobile?,"
With Lyca Mobile, forget about credit checks or extra charges when you sign up for a plan or utilize our mobile services. We're committed to delivering straightforward and accessible mobile solutions, free from the hassle of credit inquiries or charges.",,Yes,"['Does Lyca Mobile require a credit check for new users?', '', 'Will my credit history be reviewed when joining Lyca Mobile?', '', 'Do I need to pass a credit check to sign up for Lyca Mobile?', '', 'Is a financial background check needed for Lyca Mobile activation?', '', 'Does Lyca Mobile check my credit score before providing service?']","['Credit verification', 'Financial check', 'Credit history review', 'Account approval', 'Signup requirements']",Getting Started
Is there a term contract I need to enter to receive services?,"
At Lyca Mobile, we don't tie you down with any contracts. Enjoy the services without the being bound by long-term commitment.",,Yes,"['Do I have to sign a contract to use Lyca Mobile services?', '', 'Is there a mandatory agreement to receive Lyca Mobile service?', '', 'Does Lyca Mobile require a long-term commitment?', '', 'Am I obligated to stay on a contract with Lyca Mobile?', '', 'Is Lyca Mobile a contract-based service or pay-as-you-go?']","['Contract requirement', 'Service agreement', 'Long-term commitment', 'Subscription terms', 'Plan obligation']",Getting Started
Is my Social Security number (SSN) required to receive service?,"No, we don't ask for your Social Security number (SSN) to provide our services.",,Yes,"['Do I need to provide my Social Security number to use Lyca Mobile?', '', 'Is an SSN mandatory for signing up with Lyca Mobile?', '', 'Can I get Lyca Mobile service without sharing my Social Security number?', '', 'Does Lyca Mobile require my SSN for activation?', '', 'Is a Social Security number needed to verify my account?']","['SSN requirement', 'Identity verification', 'Personal details', 'Account registration', 'Service activation']",Getting Started
How do I sign up for Lyca Mobile?,"
Signing up for Lyca Mobile is a breeze. Start by choosing individual mobile plans for up to 3 lines, including yours. Next, assign the preferred SIM type for each line. Create an account, complete your purchase, and await the order confirmation email from us. Upon receiving it, you're ready to go. 

Activate your line first: If you're using an eSIM, you can activate it immediately, or you can wait until the SIM card arrives by mail. After activating your line, you can proceed to activate other lines in your group.",,Yes,"['What is the process to register for Lyca Mobile?', '', 'How can I create an account with Lyca Mobile?', '', 'Where do I go to activate Lyca Mobile service?', '', 'What steps do I need to follow to join Lyca Mobile?', '', 'Can I sign up for Lyca Mobile online or in-store?']","['Signup process', 'Account registration', 'Service activation', 'Join Lyca Mobile', 'New user setup']",Getting Started
